PO#,Date,Vendor,Description,Job,Due,Received,B/O,Ship to,Comments
21069,1/9/2025,197,Water Test,3,"Tuesday, January 21, 2025",,,,ms
21070,1/10/2025,79,Bi Flex,3,"Wednesday, January 15, 2025",,,,MS
21071,1/10/2025,114,Angles Qty 150,3,"Saturday, January 11, 2025",,,,MS - Ship to Lavoy
21072,1/13/2025,86,Universal Flashing,3,"Wednesday, January 15, 2025",,,Shop Delivery,MS
21073,1/15/2025,114,Lake Street Channels,27,"Thursday, January 16, 2025",,,Shop Delivery,MS
21074,1/15/2025,114,Aluminum Sheet,19,"Thursday, January 16, 2025",,,Shop Delivery,MS
21075,1/16/2025,79,SS Spacers @ Lake Street,27,"Thursday, January 23, 2025",,,Shop Delivery,MS
21076,1/16/2025,419, ,19,,,,,
21077,1/20/2025,253,Door 101 Sidelite Glass,27,"Thursday, February 20, 2025",,,Shop Delivery,MS
21078,1/13/2025,25,Butt Hinges for Gate,7,"Friday, January 31, 2025",,,Shop Delivery,SW
21079,1/13/2025,360,Insulated glass for main entry,7,"Monday, March 03, 2025",,,Shop Delivery,SW
21080,1/16/2025,79,Bi-flex and neoprene washers,7,"Friday, January 17, 2025",,,Shop Delivery,SW
21081,1/21/2025,253,1 Single and 2 Pairs of doors,7,"Friday, March 21, 2025",,,Shop Delivery,SW
21082,1/22/2025,130,Limestone 795 and Tremflex White,7,"Sunday, February 23, 2025",,,Will Call,SW
21083,1/22/2025,173,Eyebrow angles,3,"Friday, January 24, 2025",,,Will Call,MS
21084,1/23/2025,215,PANELS,3,"Friday, January 24, 2025",,,Will Call,MS
21085,1/23/2025,215,ORANGE PANELS,61,"Friday, January 24, 2025",,,Will Call,MS
21086,1/23/2025,215,CHANNELS,27,"Friday, January 24, 2025",,,Will Call,MS
21087,1/23/2025,339,ARROWHEAD GASKET,27,"Friday, January 24, 2025",,,Will Call,MS
21088,1/23/2025,215,ANGLES,3,"Friday, January 24, 2025",,,Will Call,MS
21089,1/24/2025,253,ENTICE GLASS SIDELITE,27,"Tuesday, February 18, 2025",,,Shop Delivery,MS
21090,1/29/2025,191,anchors at concrete,3,"Monday, February 03, 2025",,,Shop Delivery,ms
21091,1/30/2025,173,flashing,27,"Friday, January 31, 2025",,,Will Call,MS
21092,1/22/2025,215,paint alum extrusions for electircal raceway,26,"Friday, January 24, 2025",,,Will Call,JB
21093,1/23/2025,173,Brake shapes for roof screen,7,"Thursday, January 30, 2025",,,Shop Delivery,SW
21094,1/23/2025,419, ,19,,,,,
21095,1/31/2025,215,Paint Brake Shapes for SF Airport and San Mateo Link,7,"Sunday, February 09, 2025",,,Shop Delivery,SW
21096,1/31/2025,4,3M spray,3,"Wednesday, February 05, 2025",,,Shop Delivery,MS
21097,1/31/2025,419, ,19,,,,,
21098,1/31/2025,18,CEE Auto Closure - LaForce,27,"Tuesday, March 18, 2025",,,Jobsite,MS
21099,1/31/2025,276,Auto Operators,7,"Monday, March 03, 2025",,,Jobsite,SW
21100,12/20/2024,4,"9"" Foil Face Ultra - GCP Perma Barrier flashing",20,"Thursday, January 02, 2025",Received,,Will Call,Paul Nasij PO's
21101,12/20/2024,79,"5/16"" washer-56LWSS for Sunshades",2,,Received,,Will Call,Paul Nasij PO's
21102,12/27/2024,173,"Hat channel for skylight, 1/8"" thick, qty x7",2,"Monday, December 30, 2024",Received,,Will Call,Paul Nasij PO's
21103,12/27/2024,25,"Pemko saddle threshold 2750-mill- 10"" wide x84"" L - no hole- Breezway doors",2,"Saturday, January 13, 2024",Received,,Shop Delivery,Paul Nasij PO's
21104,1/3/2025,191,"UC5162034 - 2-3/4"" length, 5/16 Ultracon",20,,Received,,,Paul Nasij PO's
21105,1/3/2025,191,"T3162034 - 2-3/4"" length, 3/16"" Tapcon",2,,Received,,,Paul Nasij PO's
21106,1/3/2025,187,"Halfen T-Bolts, Qtyx 250 - 38/23 -HZSM12x60, Qtyx 250 - 38/24 - HZSM12x70, Qtyx 200 - 38/25 - HZSM12x80",20,,Received,,,Paul Nasij PO's
21107,1/6/2025,238,Morin- Roof Screen panels,20,"Friday, July 11, 2025",,,Shop Delivery,Paul Nasij PO's
21108,3/27/2025,215,x18 pieces of items to paint- MP -finish: Sunstorm Moondust Mica - 3 coat - LAS#4094,2,"Monday, April 14, 2025",,,Will Call,Paul Nasij PO's
21109,1/6/2025,215,Finishing Sunstorm Moondust x3 rec. Tubes and x3 Alum. flat sheets,2,"Thursday, January 30, 2025",,,Will Call,Paul Nasij PO's
21110,1/6/2025,215,Finishing Driftwood Mica x3 Aluminum tubes from coastal- PO#20792,2,"Friday, January 31, 2025",,,Will Call,Paul Nasij PO's
21111,1/7/2025,79,"Flat and lock washer for Halfen T-bolts , 38/23, M12 zinc plated",2,,Received,,,Paul Nasij PO's
21112,1/9/2025,79,3/8-SS Flat washer,2,,Received,,Will Call,Paul Nasij PO's
21113,1/10/2025,429,Louvers,20,,,,,Paul Nasij PO's
21114,1/13/2025,114,"2x2x0.125"" Tube , qty x2",2,"Wednesday, January 15, 2025",Received,,Shop Delivery,Paul Nasij PO's
21115,1/20/2025,79,hm DOOR DRIL-FLEX,2,"Tuesday, January 21, 2025",Received,,Will Call,Paul Nasij PO's
21116,1/22/2025,173,"SS, #4, Hems for Skylight, qty x7 @10' long",2,"Monday, January 27, 2025",Received,,Will Call,Paul Nasij PO's
21117,1/24/2025,79,1/4-20x2 1/2 DrillFlex ( H142012 ),20,"Friday, January 24, 2025",Received,,Will Call,Paul Nasij PO's
21118,1/27/2025,114,"1.000 X 2.000 X .125 ANGLE 6063-T52 192 - Fundermax girts, qty x300",2,"Monday, January 27, 2025",Received,,Shop Delivery,Paul Nasij PO's
21119,1/29/2025,173,"Alum. sheet 1/8"" thick aluminum - 9-1/2"" x 10' long , qty x3",2,"Sunday, March 02, 2025",Received,,Shop Delivery,Paul Nasij PO's
21120,2/3/2025,79,1/4-20x2 1/2 Drill flex,20,"Tuesday, February 04, 2025",Received,,Will Call,Paul Nasij PO's
21121,2/7/2025,79,"1/4"" - 14 x 4"" Long Drill Flex - Flat head",2,"Friday, February 07, 2025",Received,,Will Call,Paul Nasij PO's
21122,2/11/2025,436,"Qty x 150, ½ x 2 ½” CPL MS - Nelson Part # 101-017-321",20,"Tuesday, February 25, 2025",Received,,Shop Delivery,Paul Nasij PO's
21123,2/14/2025,191,"Qtyx50, HILTI KWIK BOLT TZ2 WEDGE ANCHOR, STAINLESS STEEL 304, 3/8""",2,"Tuesday, February 25, 2025",Received,,Will Call,Paul Nasij PO's
21124,2/14/2025,173,qty x8 SS flashing behind Facial and soffit resin panels,2,"Tuesday, February 18, 2025",Received,,Will Call,Paul Nasij PO's
21125,2/14/2025,437,"New plates , qty x9",20,"Friday, February 21, 2025",Received,,Will Call,Paul Nasij PO's
21126,4/8/2025,114,"South Canopy, CN03.1, qty x4 @ 16’ long 2x2x0.125 L-angles for MP attachment",2,"Wednesday, April 09, 2025",,,Shop Delivery,Paul Nasij PO's
21127,2/21/2025,114,"qty x2 Aluminum channel- Basketball #123418C63, 0.500 x0.750 x0.125",2,"Tuesday, February 25, 2025",,,Shop Delivery,Paul Nasij PO's
21128,2/24/2025,360,Qty x1 replacement glass- Broken by others- GL-35-005,2,"Monday, April 07, 2025",,,Shop Delivery,Paul Nasij PO's
21129,2/26/2025,114,"Flat alum. sheet 1/8"" thick 4'x10'",2,"Thursday, February 27, 2025",Received,,Deliver to Certified,Paul Nasij PO's
21130,2/28/2025,79,"Door fastener- #12 - 2 1/2"" Philip Head -SS - Flat head, TF. qty x200",2,"Monday, March 03, 2025",Received,,Will Call,Paul Nasij PO's
21131,3/3/2025,360,Qty x1 Door replacement glass- Broken by CSE- GL-3P102B,2,"Monday, April 07, 2025",,,Shop Delivery,Paul Nasij PO's
21132,3/10/2025,4,"12"" (x2) and 9"" Foil Face Ultra (x5) - GCP Perma Barrier flashing",20,"Monday, March 17, 2025",Received,,Will Call,Paul Nasij PO's
21133,3/13/2025,79,Brake shapes and coping panels - Quote#275818,2,"Wednesday, March 25, 2020",Received,,Shop Delivery,Paul Nasij PO's
21134,3/19/2025,79,"Door fastener- #12 - 2 1/2"" Philip Head -SS - Flat head, TF. qty x200",2,"Friday, March 21, 2025",Received,,Will Call,Paul Nasij PO's
21135,3/27/2025,4,"12"" (x3) and 9"" Foil Face Ultra (x8) - GCP Perma Barrier flashing",20,"Monday, March 31, 2025",Received,,Shop Delivery,Paul Nasij PO's
21136,3/31/2025,79,"1/4""-14 x 2"" Dril-Flex Fasteners. qty x100",20,"Friday, April 04, 2025",Received,,Shop Delivery,Paul Nasij PO's
21137,4/4/2025,79,"1/4""-14 x 1-1/2"" Dril-Flex Fasteners. qty x700",20,"Tuesday, April 08, 2025",,,Shop Delivery,Paul Nasij PO's
21138,4/11/2025,114,"Alum. L- angles and tube for Basketball Ct. and fire rated door, qty x11 stk",2,"Friday, April 11, 2025",,,Shop Delivery,Paul Nasij PO's
21139,4/15/2025,79,"SS flashing for courtyards , qty x98 pcs",2,"Friday, April 18, 2025",,,Shop Delivery,Paul Nasij PO's
21140,4/29/2025,25,"EL CEPT - Power transfer SS finish, qty x 5",2,"Tuesday, May 06, 2025",,,Shop Delivery,Paul Nasij PO's
21141,5/2/2025,79,"CCD- 048 Embeds, qty x17",20,,,,Shop Delivery,Paul Nasij PO's
21142,5/12/2025,79,Qty x60 - 1/4-20 X 4 HW SDS #4 PT DRIL-FLEX STALGARD SUB,2,"Tuesday, May 13, 2025",,,Shop Delivery,Paul Nasij PO's
21143,5/13/2025,79,SKB Tower 250 pcs of 10’-0” long 16 GA 4-1/2” X 1” 90 D BRAKE SHAPE G30 GALVANIZED STEEL,2,,,,Shop Delivery,Paul Nasij PO's
21144,5/14/2025,197,"Intertek GL03(Balcony) qtyx16, DL03(Doors) qtyx8",20,"Friday, July 25, 2025",,,Shop Delivery,Paul Nasij PO's
